record_type,seed,S,A,gamma,K,L_z,n,sigma_xi,alpha,beta,candidate_mode,value_error,decomposition_bound,finite_depth_residual,finite_depth_residual_bound,eps_res_star,eps_res_n,eps_A_cand,eps_A_bound,eta_pi,eta_pi_alpha,Lhat_pi_alpha,eps_CPI,penalty_decomp,penalty_exact_A,certificate_holds_decomp,certificate_holds_exact_A
value_curve,0,64,4,0.9,3,0.5,1,0.05,0.0,0.0,none,1.3870815151707576,1.9127446140378899,0.5415047419270176,1.99817247943549,0.11265912286242064,0.5415047419270176,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,2,0.05,0.0,0.0,none,0.69840916894367,1.1642304672817136,0.3167441795523427,1.16879771052525,0.11265912286242064,0.3167441795523427,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,3,0.05,0.0,0.0,none,0.39975401062067517,0.7899733939036255,0.2110964300263567,0.7789536163334199,0.11265912286242064,0.2110964300263567,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,4,0.05,0.0,0.0,none,0.25042643145917776,0.6028448572145816,0.15827255526336392,0.5840315692375054,0.11265912286242064,0.15827255526336392,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,5,0.05,0.0,0.0,none,0.17576264187842927,0.5092805888700596,0.13186061788186754,0.4865705456895483,0.11265912286242064,0.13186061788186754,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,6,0.05,0.0,0.0,none,0.13843074708805458,0.46249845469779854,0.1186546491911189,0.437840033915568,0.11265912286242064,0.1186546491911189,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,7,0.05,0.0,0.0,none,0.12262587287951138,0.439107387611668,0.113164909130405,0.41758269051809976,0.11265912286242064,0.113164909130405,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,8,0.05,0.0,0.0,none,0.1220128666179697,0.42741185406860277,0.11291201599641276,0.41664950552181845,0.11265912286242064,0.11291201599641276,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,9,0.05,0.0,0.0,none,0.12170636348719888,0.4215640872970702,0.11278556942941675,0.4161829130236782,0.11265912286242064,0.11278556942941675,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,10,0.05,0.0,0.0,none,0.12155311192181345,0.41864020391130385,0.1127223461459187,0.41594961677460784,0.11265912286242064,0.1127223461459187,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,11,0.05,0.0,0.0,none,0.12147648613912074,0.4171782622184207,0.11269073450416978,0.41583296865007313,0.11265912286242064,0.11269073450416978,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,12,0.05,0.0,0.0,none,0.12143817324777437,0.4164472913719791,0.1126749286832952,0.41577464458780533,0.11265912286242064,0.1126749286832952,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,13,0.05,0.0,0.0,none,0.12141901680210121,0.4160818059487583,0.11266702577285792,0.41574548255667143,0.11265912286242064,0.11266702577285792,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
